country,country_code,region,income_group,year,digital_id_usage_pct,indicator_description,unit_of_measure,frequency,aggregation_method,source_database,data_status,confidentiality_status
Bahrain,BHR,Middle East & North Africa,High income,2024,68.6,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,84.1,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,92.96,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,85.01,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,95.78,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,92.95,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,93.36,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,92.53,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,92.74,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,93.2,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,91.15,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,93.29,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,90.16,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,93.11,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Belgium,BEL,Europe & Central Asia,High income,2024,95.5,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,51.61,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,25.51,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,10.81,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,23.71,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,22.89,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,17.61,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,20.23,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,32.43,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,35.4,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,29.55,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,14.94,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Benin,BEN,Sub-Saharan Africa,Low income,2024,46.91,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,84.74,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,64.53,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,82.11,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,88.38,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,69.3,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,81.41,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,84.06,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,82.53,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,81.94,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,75.89,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,83.89,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,80.85,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,78.31,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,78.87,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,82.2,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,79.76,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,75.4,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,74.33,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,79.23,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,77.88,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,76.78,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,78.72,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,79.87,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,73.76,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Canada,CAN,North America,High income,2024,78.52,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,60.82,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,69.24,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,73.93,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,74.12,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,71.26,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,76.52,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,51.92,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,34.06,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,89.06,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,64.59,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,77.93,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,64.99,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Chile,CHL,Latin America & Caribbean,High income,2024,66.1,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,83.04,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,83.1,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,73.93,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,75.99,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,80.58,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,84.7,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,80.77,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,81.74,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,83.62,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,74.58,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
China,CHN,East Asia & Pacific,Upper middle income,2024,82.33,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Colombia,COL,Latin America & Caribbean,Upper middle income,2024,23.22,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Cyprus,CYP,Europe & Central Asia,High income,2024,26.94,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Cyprus,CYP,Europe & Central Asia,High income,2024,33.87,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
